location,mapset,map,id0,lw,class,"m^2"
modis,mcd12q1,2005_lct1_reclass,143,7,3,858625.726191
modis,mcd12q1,2005_lct1_reclass,143,10,1,403339434.878318
modis,mcd12q1,2005_lct1_reclass,143,10,2,429312.863096
modis,mcd12q1,2005_lct1_reclass,143,11,1,7083662.241077
modis,mcd12q1,2005_lct1_reclass,143,12,1,181813997.520979
modis,mcd12q1,2005_lct1_reclass,143,13,1,86291885.482212
modis,mcd12q1,2005_lct1_reclass,143,13,2,2790533.610121
modis,mcd12q1,2005_lct1_reclass,143,14,1,23182894.607161
modis,mcd12q1,2005_lct1_reclass,143,16,1,233116884.660901
modis,mcd12q1,2005_lct1_reclass,234,0,0,4965003261.700343
modis,mcd12q1,2005_lct1_reclass,234,0,1,4397880969.550214
modis,mcd12q1,2005_lct1_reclass,234,0,2,10374130680.273457
modis,mcd12q1,2005_lct1_reclass,234,0,3,77276959326.838531
modis,mcd12q1,2005_lct1_reclass,234,0,5,106339508250.698975
modis,mcd12q1,2005_lct1_reclass,234,0,6,2575877.178573
modis,mcd12q1,2005_lct1_reclass,234,0,7,214656.431548
modis,mcd12q1,2005_lct1_reclass,234,5,1,1510843623596.718750
modis,mcd12q1,2005_lct1_reclass,234,5,2,23987212256.192047
modis,mcd12q1,2005_lct1_reclass,234,5,3,6263245359.703364
modis,mcd12q1,2005_lct1_reclass,234,7,1,1284872222131.453125
modis,mcd12q1,2005_lct1_reclass,234,7,2,19614446089.105896
modis,mcd12q1,2005_lct1_reclass,234,7,3,4955558378.712226
modis,mcd12q1,2005_lct1_reclass,234,10,1,2101670211080.892578
modis,mcd12q1,2005_lct1_reclass,234,10,2,12583374673.756878
modis,mcd12q1,2005_lct1_reclass,234,10,3,2607002361.148010
modis,mcd12q1,2005_lct1_reclass,234,11,1,41578306821.638519
modis,mcd12q1,2005_lct1_reclass,234,11,2,13818078468.016171
modis,mcd12q1,2005_lct1_reclass,234,11,3,1016398203.378760
modis,mcd12q1,2005_lct1_reclass,234,12,1,1402454146378.375000
modis,mcd12q1,2005_lct1_reclass,234,12,2,8182273857.743545
modis,mcd12q1,2005_lct1_reclass,234,12,3,931823569.348942
modis,mcd12q1,2005_lct1_reclass,234,13,1,115698314009.806976
modis,mcd12q1,2005_lct1_reclass,234,13,2,4317599464.151217
modis,mcd12q1,2005_lct1_reclass,234,13,3,68904714.526841
modis,mcd12q1,2005_lct1_reclass,234,14,1,1073231498713.892212
modis,mcd12q1,2005_lct1_reclass,234,14,2,9201033281.868200
modis,mcd12q1,2005_lct1_reclass,234,14,3,836086800.878641
modis,mcd12q1,2005_lct1_reclass,234,16,1,90415650189.094147
modis,mcd12q1,2005_lct1_reclass,234,16,2,2343404263.207506
modis,mcd12q1,2005_lct1_reclass,234,16,3,1421669546.141126
modis,mcd12q1,2005_lct1_reclass,,0,0,80825659453.207794
modis,mcd12q1,2005_lct1_reclass,,0,1,1098826273.093114
modis,mcd12q1,2005_lct1_reclass,,0,2,10000843145.812937
modis,mcd12q1,2005_lct1_reclass,,0,3,2040094725.430569
modis,mcd12q1,2005_lct1_reclass,,0,6,794658109.589923
modis,mcd12q1,2005_lct1_reclass,,0,7,129437828.223318
